Ehrhartaceae = Poaceae = Poales
Elaeagnaceae = Rosales
Elaeocarpaceae = Oxalidales
Elaphoglossaceae = Dryopteridaceae = Polypodiales-eupolypod I
Elegiaceae = Restionaceae = Poales
Elatinaceae = Malpighiales
Ellisiaceae = Hydrophyllaceae = Boraginales
Ellisiophyllaceae = Plantaginaceae = Lamiales
Elodeaceae = Hydrocharitaceae = Alismatales
Elytranthaceae = Loranthaceae = Santalales
Embeliaceae = Primulaceae = Ericales
Emblingiaceae = Brassicales
Emmotaceae = Metteniusaceae = Metteniusales
Empetraceae = Ericaceae = Ericales
Encephalartaceae = Zamiaceae = Cycadales
Engelhardtiaceae = Juglandaceae = Fagales
Enhalaceae = Hydrocharitaceae = Alismatales
Epacridaceae = Ericaceae = Ericales
Ephedraceae = Gnetales
Ephemeranthaceae = Commelinaceae = Commelinales
Epilobiaceae = Onagraceae = Myrtales
Epimediaceae = Berberidaceae = Ranunculales
Equisetaceae = Equisetales
Eragrostidaceae = Poaceae = Poales
Eremolepidaceae = Santalaceae = Santalales
Eremosynaceae = Escalloniaceae = Escalloniales
Ericaceae = Ericales
Erinaceae = Orobanchaceae = Lamiales
Eriocaulaceae = Poales
Eriogonaceae = Polygonaceae = Caryophyllales
Eriospermaceae = Asparagaceae = Asparagales
Erodiaceae = Geraniaceae = Geraniales
Erycibaceae = Convolvulaceae = Solanales
Eryngiaceae = Apiaceae = Apiales
Erysimaceae = Brassicaceae = Brassicales
Erythroniaceae = Liliaceae = Liliales
Erythropalaceae = Santalales
Erythrospermaceae = Achariaceae = Malpighiales
Erythroxylaceae = Malpighiales
Escalloniaceae = Escalloniales
Eschscholziaceae = Papaveraceae = Ranunculales
Eucomidaceae = Asparagaceae = Asparagales
Eucommiaceae = Garryales
Eucryphiaceae = Cunoniaceae = Oxalidales
Eugeniaceae = Myrtaceae = Myrtales
Euonymaceae = Celastraceae = Celastrales
Eupatoriaceae = Asteraceae = Asterales
Euphorbiaceae = Malpighiales
Euphrasiaceae = Orobanchaceae = Lamiales
Euphroniaceae = Malpighiales
Eupomatiaceae = Magnoliales
Eupteleaceae = Ranunculales
Euryalaceae = Nymphaeaceae = Nymphaeales
Eustrephaceae = Asparagaceae = Asparagales
Euthemidaceae = Ochnaceae = Malpighiales
Eutocaceae = Hydrophyllaceae = Boraginales
Evolvulaceae = Convolvulaceae = Solanales
Exbucklandiaceae = Hamamelidaceae = Saxifragales
Exocarpaceae = Santalaceae = Santalales

Fabaceae = Fabales
Fagaceae = Fagales
Falcatifoliaceae = Podocarpaceae = Cupressales
Ferulaceae = Apiaceae = Apiales
Festucaceae = Poaceae = Poales
Ficaceae = Moraceae = Rosales
Ficoidaceae = Aizoaceae = Caryophyllales
Filicaceae = Dryopteridaceae = Polypodiales-eupolypod I
Fitzroyaceae = Cupressaceae = Cupressales
Flacourtiaceae = Salicaceae = Malpighiales
Flagellariaceae = Poales
Flindersiaceae = Rutaceae = Sapindales
Foetidiaceae = Lecythidaceae = Ericales
Forestieraceae = Oleaceae = Lamiales
Fothergillaceae = Hamamelidaceae = Saxifragales
Fouquieriaceae = Ericales
Fragariaceae = Rosaceae = Rosales
Francoaceae = Geraniales
Frangulaceae = Rhamnaceae = Rosales
Frankeniaceae = Caryophyllales
Fraxinaceae = Oleaceae = Lamiales
Fraxinellaceae = Rutaceae = Sapindales
Freycinetiaceae = Pandanaceae = Pandanales
Fritillariaceae = Liliaceae = Liliales
Fuchsiaceae = Onagraceae = Myrtales
Fumariaceae = Papaveraceae = Ranunculales
Funkiaceae = Asparagaceae = Asparagales

Gaiadendraceae = Loranthaceae = Santalales
Galacinaceae = Diapensiaceae = Ericales
Galanthaceae = Amaryllidaceae = Asparagales
Galaxiaceae = Iridaceae = Asparagales
Galedupaceae = Fabaceae = Fabales
